I0,I1,I2,I3
255.0000000,2043.0000000,-33.0000000,44.7870522
256.0000000,2044.0000000,-31.0000000,44.7905312
256.0000000,2044.0000000,-31.0000000,44.7905312
255.0000000,2046.0000000,-31.0000000,44.7861137
255.0000000,2046.0000000,-31.0000000,44.7861137
258.0000000,2042.0000000,-29.0000000,44.7911987
258.0000000,2042.0000000,-29.0000000,44.7911987
256.0000000,2043.0000000,-33.0000000,44.7882233
256.0000000,2043.0000000,-33.0000000,44.7882233
257.0000000,2044.0000000,-33.0000000,44.7779961
257.0000000,2044.0000000,-33.0000000,44.7779961
258.0000000,2043.0000000,-30.0000000,44.7703018
258.0000000,2043.0000000,-30.0000000,44.7703018
257.0000000,2045.0000000,-31.0000000,44.7603607
256.0000000,2044.0000000,-30.0000000,44.7680206
256.0000000,2044.0000000,-30.0000000,44.7680206
256.0000000,2043.0000000,-30.0000000,44.7718925
256.0000000,2043.0000000,-30.0000000,44.7718925
257.0000000,2045.0000000,-32.0000000,44.7874527
257.0000000,2045.0000000,-32.0000000,44.7874527
255.0000000,2042.0000000,-33.0000000,44.7924042
255.0000000,2042.0000000,-33.0000000,44.7924042
256.0000000,2043.0000000,-30.0000000,44.7908211
256.0000000,2043.0000000,-30.0000000,44.7908211
253.0000000,2046.0000000,-30.0000000,44.8135490
253.0000000,2046.0000000,-30.0000000,44.8135490
256.0000000,2044.0000000,-30.0000000,44.8189049
255.0000000,2044.0000000,-32.0000000,44.8071213
255.0000000,2044.0000000,-32.0000000,44.8071213
256.0000000,2043.0000000,-30.0000000,44.8010445
256.0000000,2043.0000000,-30.0000000,44.8010445
255.0000000,2044.0000000,-31.0000000,44.7970848
255.0000000,2044.0000000,-31.0000000,44.7970848
257.0000000,2042.0000000,-29.0000000,44.7859726
257.0000000,2042.0000000,-29.0000000,44.7859726
255.0000000,2042.0000000,-31.0000000,44.7789917
255.0000000,2042.0000000,-31.0000000,44.7789917
258.0000000,2044.0000000,-33.0000000,44.7787476
257.0000000,2045.0000000,-33.0000000,44.7815475
257.0000000,2045.0000000,-33.0000000,44.7815475
258.0000000,2040.0000000,-32.0000000,44.7689705
258.0000000,2040.0000000,-32.0000000,44.7689705
255.0000000,2043.0000000,-30.0000000,44.7682190
255.0000000,2043.0000000,-30.0000000,44.7682190
252.0000000,2042.0000000,-30.0000000,44.7630157
252.0000000,2042.0000000,-30.0000000,44.7630157
254.0000000,2045.0000000,-32.0000000,44.7643700
254.0000000,2045.0000000,-32.0000000,44.7643700
254.0000000,2042.0000000,-28.0000000,44.7655907
254.0000000,2042.0000000,-28.0000000,44.7655907
255.0000000,2043.0000000,-31.0000000,44.7772560
254.0000000,2044.0000000,-30.0000000,44.7741661
254.0000000,2044.0000000,-30.0000000,44.7741661
258.0000000,2041.0000000,-31.0000000,44.7744064
258.0000000,2041.0000000,-31.0000000,44.7744064
252.0000000,2043.0000000,-30.0000000,44.7625465
252.0000000,2043.0000000,-30.0000000,44.7625465
255.0000000,2046.0000000,-31.0000000,44.7669640
255.0000000,2046.0000000,-31.0000000,44.7669640
258.0000000,2042.0000000,-29.0000000,44.7664146
258.0000000,2042.0000000,-29.0000000,44.7664146
255.0000000,2044.0000000,-31.0000000,44.7704468
255.0000000,2044.0000000,-31.0000000,44.7704468
259.0000000,2043.0000000,-30.0000000,44.7619972
255.0000000,2045.0000000,-30.0000000,44.7559052
255.0000000,2045.0000000,-30.0000000,44.7559052
257.0000000,2045.0000000,-32.0000000,44.7519341
257.0000000,2045.0000000,-32.0000000,44.7519341
254.0000000,2043.0000000,-31.0000000,44.7528877
254.0000000,2043.0000000,-31.0000000,44.7528877
255.0000000,2044.0000000,-29.0000000,44.7492180
255.0000000,2044.0000000,-29.0000000,44.7492180
255.0000000,2044.0000000,-33.0000000,44.7308159
255.0000000,2044.0000000,-33.0000000,44.7308159
256.0000000,2042.0000000,-31.0000000,44.7399178
256.0000000,2042.0000000,-31.0000000,44.7399178
252.0000000,2042.0000000,-29.0000000,44.7466011
254.0000000,2043.0000000,-30.0000000,44.7390289
254.0000000,2043.0000000,-30.0000000,44.7390289
255.0000000,2043.0000000,-29.0000000,44.7307053
255.0000000,2043.0000000,-29.0000000,44.7307053
252.0000000,2043.0000000,-30.0000000,44.7277412
252.0000000,2043.0000000,-30.0000000,44.7277412
254.0000000,2044.0000000,-31.0000000,44.7326241
254.0000000,2044.0000000,-31.0000000,44.7326241
251.0000000,2044.0000000,-31.0000000,44.7355080
251.0000000,2044.0000000,-31.0000000,44.7355080
254.0000000,2044.0000000,-29.0000000,44.7275352
254.0000000,2044.0000000,-31.0000000,44.7188492
254.0000000,2044.0000000,-31.0000000,44.7188492
256.0000000,2040.0000000,-30.0000000,44.7291489
256.0000000,2040.0000000,-30.0000000,44.7291489
257.0000000,2045.0000000,-28.0000000,44.7369080
257.0000000,2045.0000000,-28.0000000,44.7369080
255.0000000,2044.0000000,-30.0000000,44.7287979
255.0000000,2044.0000000,-30.0000000,44.7287979
255.0000000,2042.0000000,-30.0000000,44.7335739
255.0000000,2042.0000000,-30.0000000,44.7335739
257.0000000,2041.0000000,-28.0000000,44.7303238
257.0000000,2041.0000000,-28.0000000,44.7303238
254.0000000,2045.0000000,-32.0000000,44.7424965
257.0000000,2044.0000000,-30.0000000,44.7489204
257.0000000,2044.0000000,-30.0000000,44.7489204
256.0000000,2042.0000000,-30.0000000,44.7471581
256.0000000,2042.0000000,-30.0000000,44.7471581
255.0000000,2045.0000000,-34.0000000,44.7440605
255.0000000,2045.0000000,-34.0000000,44.7440605
255.0000000,2044.0000000,-28.0000000,44.7427826
255.0000000,2044.0000000,-28.0000000,44.7427826
253.0000000,2041.0000000,-30.0000000,44.7325745
253.0000000,2041.0000000,-30.0000000,44.7325745
255.0000000,2044.0000000,-29.0000000,44.7309341
255.0000000,2044.0000000,-29.0000000,44.7309341
256.0000000,2045.0000000,-32.0000000,44.7339859
253.0000000,2043.0000000,-30.0000000,44.7322044
253.0000000,2043.0000000,-30.0000000,44.7322044
258.0000000,2044.0000000,-32.0000000,44.7426796
258.0000000,2044.0000000,-32.0000000,44.7426796
254.0000000,2044.0000000,-30.0000000,44.7460670
254.0000000,2044.0000000,-30.0000000,44.7460670
253.0000000,2046.0000000,-30.0000000,44.7279778
253.0000000,2046.0000000,-30.0000000,44.7279778
256.0000000,2044.0000000,-30.0000000,44.7298164
256.0000000,2044.0000000,-30.0000000,44.7298164
254.0000000,2044.0000000,-30.0000000,44.7329788
254.0000000,2044.0000000,-30.0000000,44.7329788
256.0000000,2041.0000000,-30.0000000,44.7313004
256.0000000,2045.0000000,-32.0000000,44.7358284
256.0000000,2045.0000000,-32.0000000,44.7358284
256.0000000,2043.0000000,-28.0000000,44.7293358
256.0000000,2043.0000000,-28.0000000,44.7293358
254.0000000,2044.0000000,-29.0000000,44.7204704
254.0000000,2044.0000000,-29.0000000,44.7204704
256.0000000,2044.0000000,-29.0000000,44.7140007
256.0000000,2044.0000000,-29.0000000,44.7140007
255.0000000,2042.0000000,-32.0000000,44.7142181
255.0000000,2042.0000000,-32.0000000,44.7142181
255.0000000,2045.0000000,-30.0000000,44.7144127
255.0000000,2043.0000000,-29.0000000,44.7100601
255.0000000,2043.0000000,-29.0000000,44.7100601
256.0000000,2043.0000000,-31.0000000,44.7151985
256.0000000,2043.0000000,-31.0000000,44.7151985
254.0000000,2042.0000000,-30.0000000,44.7152977
254.0000000,2042.0000000,-30.0000000,44.7152977
254.0000000,2045.0000000,-30.0000000,44.7153854
254.0000000,2045.0000000,-30.0000000,44.7153854
254.0000000,2043.0000000,-28.0000000,44.7215042
254.0000000,2043.0000000,-28.0000000,44.7215042
254.0000000,2044.0000000,-30.0000000,44.7194595
254.0000000,2044.0000000,-30.0000000,44.7194595
255.0000000,2042.0000000,-30.0000000,44.7221489
254.0000000,2045.0000000,-29.0000000,44.7185287
254.0000000,2045.0000000,-29.0000000,44.7185287
255.0000000,2044.0000000,-31.0000000,44.7273483
255.0000000,2044.0000000,-31.0000000,44.7273483
256.0000000,2043.0000000,-31.0000000,44.7292480
256.0000000,2043.0000000,-31.0000000,44.7292480
252.0000000,2045.0000000,-28.0000000,44.7188797
252.0000000,2045.0000000,-28.0000000,44.7188797
254.0000000,2045.0000000,-27.0000000,44.7155876
254.0000000,2045.0000000,-27.0000000,44.7155876
257.0000000,2044.0000000,-29.0000000,44.7141342
257.0000000,2044.0000000,-29.0000000,44.7141342
255.0000000,2044.0000000,-29.0000000,44.7143402
253.0000000,2042.0000000,-31.0000000,44.7235794
253.0000000,2042.0000000,-31.0000000,44.7235794
255.0000000,2043.0000000,-29.0000000,44.7318954
255.0000000,2043.0000000,-29.0000000,44.7318954
256.0000000,2045.0000000,-31.0000000,44.7303238
256.0000000,2045.0000000,-31.0000000,44.7303238
256.0000000,2043.0000000,-32.0000000,44.7289085
256.0000000,2043.0000000,-32.0000000,44.7289085
253.0000000,2044.0000000,-32.0000000,44.7306519
253.0000000,2044.0000000,-32.0000000,44.7306519
254.0000000,2043.0000000,-32.0000000,44.7307167
254.0000000,2043.0000000,-32.0000000,44.7307167
255.0000000,2044.0000000,-30.0000000,44.7262421
255.0000000,2042.0000000,-27.0000000,44.7131577
255.0000000,2042.0000000,-27.0000000,44.7131577
253.0000000,2044.0000000,-31.0000000,44.7270470
253.0000000,2044.0000000,-31.0000000,44.7270470
257.0000000,2044.0000000,-30.0000000,44.7319984
257.0000000,2044.0000000,-30.0000000,44.7319984
255.0000000,2044.0000000,-32.0000000,44.7485313
255.0000000,2044.0000000,-32.0000000,44.7485313
254.0000000,2041.0000000,-29.0000000,44.7483139
254.0000000,2041.0000000,-29.0000000,44.7483139
255.0000000,2047.0000000,-29.0000000,44.7209473
254.0000000,2042.0000000,-32.0000000,44.7174492
254.0000000,2042.0000000,-32.0000000,44.7174492
253.0000000,2044.0000000,-32.0000000,44.7218513
253.0000000,2044.0000000,-32.0000000,44.7218513
253.0000000,2044.0000000,-30.0000000,44.7182617
253.0000000,2044.0000000,-30.0000000,44.7182617
257.0000000,2044.0000000,-32.0000000,44.7225800
257.0000000,2044.0000000,-32.0000000,44.7225800
254.0000000,2043.0000000,-31.0000000,44.7340164
254.0000000,2043.0000000,-31.0000000,44.7340164
254.0000000,2043.0000000,-29.0000000,44.7292099
254.0000000,2043.0000000,-29.0000000,44.7292099
254.0000000,2046.0000000,-30.0000000,44.7248840
257.0000000,2044.0000000,-33.0000000,44.7360916
257.0000000,2044.0000000,-33.0000000,44.7360916
253.0000000,2045.0000000,-30.0000000,44.7310791
253.0000000,2045.0000000,-30.0000000,44.7310791
255.0000000,2041.0000000,-33.0000000,44.7280769
255.0000000,2041.0000000,-33.0000000,44.7280769
255.0000000,2045.0000000,-31.0000000,44.7238655
255.0000000,2045.0000000,-31.0000000,44.7238655
255.0000000,2043.0000000,-29.0000000,44.7230949
255.0000000,2043.0000000,-29.0000000,44.7230949
256.0000000,2045.0000000,-29.0000000,44.7284431
256.0000000,2045.0000000,-29.0000000,44.7284431
257.0000000,2042.0000000,-31.0000000,44.7302322
257.0000000,2043.0000000,-29.0000000,44.7393951
257.0000000,2043.0000000,-29.0000000,44.7393951
255.0000000,2044.0000000,-28.0000000,44.7340508
255.0000000,2044.0000000,-28.0000000,44.7340508
255.0000000,2045.0000000,-32.0000000,44.7262230
255.0000000,2045.0000000,-32.0000000,44.7262230
254.0000000,2043.0000000,-30.0000000,44.7282372
254.0000000,2043.0000000,-30.0000000,44.7282372
253.0000000,2042.0000000,-29.0000000,44.7315598
253.0000000,2042.0000000,-29.0000000,44.7315598
253.0000000,2043.0000000,-29.0000000,44.7375717
253.0000000,2043.0000000,-29.0000000,44.7375717
254.0000000,2044.0000000,-28.0000000,44.7233543
257.0000000,2044.0000000,-29.0000000,44.7060318
257.0000000,2044.0000000,-29.0000000,44.7060318
254.0000000,2043.0000000,-30.0000000,44.7070465
254.0000000,2043.0000000,-30.0000000,44.7070465
256.0000000,2043.0000000,-32.0000000,44.7094688
256.0000000,2043.0000000,-32.0000000,44.7094688
255.0000000,2041.0000000,-31.0000000,44.7116508
255.0000000,2041.0000000,-31.0000000,44.7116508
254.0000000,2044.0000000,-31.0000000,44.7090836
254.0000000,2044.0000000,-31.0000000,44.7090836
255.0000000,2044.0000000,-29.0000000,44.7128105
257.0000000,2042.0000000,-29.0000000,44.7161636
257.0000000,2042.0000000,-29.0000000,44.7161636
254.0000000,2044.0000000,-32.0000000,44.7191811
254.0000000,2044.0000000,-32.0000000,44.7191811
254.0000000,2045.0000000,-29.0000000,44.7158585
254.0000000,2045.0000000,-29.0000000,44.7158585
254.0000000,2040.0000000,-31.0000000,44.7234383
254.0000000,2040.0000000,-31.0000000,44.7234383
255.0000000,2045.0000000,-29.0000000,44.7378082
255.0000000,2045.0000000,-29.0000000,44.7378082
255.0000000,2043.0000000,-30.0000000,44.7401733
255.0000000,2043.0000000,-30.0000000,44.7401733
255.0000000,2045.0000000,-29.0000000,44.7468300
256.0000000,2043.0000000,-31.0000000,44.7543297
256.0000000,2043.0000000,-31.0000000,44.7543297
254.0000000,2043.0000000,-31.0000000,44.7490044
254.0000000,2043.0000000,-31.0000000,44.7490044
254.0000000,2044.0000000,-32.0000000,44.7396812
254.0000000,2044.0000000,-32.0000000,44.7396812
256.0000000,2043.0000000,-31.0000000,44.7418594
256.0000000,2043.0000000,-31.0000000,44.7418594
254.0000000,2043.0000000,-31.0000000,44.7453308
254.0000000,2043.0000000,-31.0000000,44.7453308
255.0000000,2045.0000000,-30.0000000,44.7363777
255.0000000,2045.0000000,-30.0000000,44.7363777
252.0000000,2045.0000000,-31.0000000,44.7388840
257.0000000,2043.0000000,-29.0000000,44.7366142
257.0000000,2043.0000000,-29.0000000,44.7366142
256.0000000,2044.0000000,-28.0000000,44.7360802
256.0000000,2044.0000000,-28.0000000,44.7360802
251.0000000,2043.0000000,-30.0000000,44.7189903
251.0000000,2043.0000000,-30.0000000,44.7189903
255.0000000,2043.0000000,-27.0000000,44.7171974
255.0000000,2043.0000000,-27.0000000,44.7171974
256.0000000,2046.0000000,-31.0000000,44.7110558
256.0000000,2046.0000000,-31.0000000,44.7110558
254.0000000,2043.0000000,-32.0000000,44.7025070
254.0000000,2043.0000000,-32.0000000,44.7025070
255.0000000,2042.0000000,-30.0000000,44.7099113
257.0000000,2043.0000000,-29.0000000,44.7120476
257.0000000,2043.0000000,-29.0000000,44.7120476
255.0000000,2044.0000000,-29.0000000,44.7109489
255.0000000,2044.0000000,-29.0000000,44.7109489
254.0000000,2045.0000000,-33.0000000,44.7190208
254.0000000,2045.0000000,-33.0000000,44.7190208
255.0000000,2042.0000000,-28.0000000,44.7247734
255.0000000,2042.0000000,-28.0000000,44.7247734
255.0000000,2042.0000000,-31.0000000,44.7208939
255.0000000,2042.0000000,-31.0000000,44.7208939
257.0000000,2044.0000000,-31.0000000,44.7204208
254.0000000,2044.0000000,-29.0000000,44.7079201
254.0000000,2044.0000000,-29.0000000,44.7079201
253.0000000,2044.0000000,-30.0000000,44.7011948
253.0000000,2044.0000000,-30.0000000,44.7011948
252.0000000,2043.0000000,-31.0000000,44.6966553
252.0000000,2043.0000000,-31.0000000,44.6966553
255.0000000,2044.0000000,-30.0000000,44.6774712
255.0000000,2044.0000000,-30.0000000,44.6774712
254.0000000,2044.0000000,-31.0000000,44.6692657
254.0000000,2044.0000000,-31.0000000,44.6692657
255.0000000,2044.0000000,-30.0000000,44.6679192
255.0000000,2044.0000000,-30.0000000,44.6679192
256.0000000,2044.0000000,-30.0000000,44.6712341
255.0000000,2044.0000000,-28.0000000,44.6787453
255.0000000,2044.0000000,-28.0000000,44.6787453
258.0000000,2042.0000000,-30.0000000,44.6734276
258.0000000,2042.0000000,-30.0000000,44.6734276
256.0000000,2044.0000000,-31.0000000,44.6792145
256.0000000,2044.0000000,-31.0000000,44.6792145
257.0000000,2043.0000000,-32.0000000,44.6889496
257.0000000,2043.0000000,-32.0000000,44.6889496
254.0000000,2044.0000000,-26.0000000,44.7022400
254.0000000,2044.0000000,-26.0000000,44.7022400
256.0000000,2041.0000000,-31.0000000,44.7051430
256.0000000,2041.0000000,-31.0000000,44.7051430
255.0000000,2044.0000000,-28.0000000,44.7062454
255.0000000,2042.0000000,-31.0000000,44.6951599
255.0000000,2042.0000000,-31.0000000,44.6951599
256.0000000,2044.0000000,-31.0000000,44.6882019
256.0000000,2044.0000000,-31.0000000,44.6882019
260.0000000,2042.0000000,-32.0000000,44.6955261
260.0000000,2042.0000000,-32.0000000,44.6955261
255.0000000,2043.0000000,-32.0000000,44.6900406
255.0000000,2043.0000000,-32.0000000,44.6900406
254.0000000,2044.0000000,-31.0000000,44.7077484
254.0000000,2044.0000000,-31.0000000,44.7077484
257.0000000,2044.0000000,-30.0000000,44.7101021
257.0000000,2044.0000000,-30.0000000,44.7101021
255.0000000,2044.0000000,-30.0000000,44.7001419
253.0000000,2044.0000000,-30.0000000,44.6896667
253.0000000,2044.0000000,-30.0000000,44.6896667
252.0000000,2045.0000000,-29.0000000,44.6923180
252.0000000,2045.0000000,-29.0000000,44.6923180
255.0000000,2045.0000000,-31.0000000,44.6947021
255.0000000,2045.0000000,-31.0000000,44.6947021
255.0000000,2046.0000000,-27.0000000,44.7074165
255.0000000,2046.0000000,-27.0000000,44.7074165
252.0000000,2042.0000000,-32.0000000,44.6962166
252.0000000,2042.0000000,-32.0000000,44.6962166
256.0000000,2043.0000000,-30.0000000,44.7027397
255.0000000,2043.0000000,-32.0000000,44.6980438
255.0000000,2043.0000000,-32.0000000,44.6980438
256.0000000,2043.0000000,-29.0000000,44.6862679
256.0000000,2043.0000000,-29.0000000,44.6862679
254.0000000,2046.0000000,-28.0000000,44.6847305
254.0000000,2046.0000000,-28.0000000,44.6847305
254.0000000,2044.0000000,-31.0000000,44.6833458
254.0000000,2044.0000000,-31.0000000,44.6833458
254.0000000,2043.0000000,-28.0000000,44.6866302
254.0000000,2043.0000000,-28.0000000,44.6866302
254.0000000,2046.0000000,-31.0000000,44.6805267
254.0000000,2046.0000000,-31.0000000,44.6805267
254.0000000,2042.0000000,-31.0000000,44.6840935
254.0000000,2043.0000000,-31.0000000,44.6993790
254.0000000,2043.0000000,-31.0000000,44.6993790
255.0000000,2045.0000000,-31.0000000,44.6980362
255.0000000,2045.0000000,-31.0000000,44.6980362
