I0,I1,I2,I3
2038.0000000,-164.0000000,-14.0000000,39.1379890
2036.0000000,-165.0000000,-15.0000000,39.1417618
2036.0000000,-165.0000000,-15.0000000,39.1417618
2039.0000000,-162.0000000,-15.0000000,39.1376076
2039.0000000,-162.0000000,-15.0000000,39.1376076
2041.0000000,-167.0000000,-15.0000000,39.1293411
2042.0000000,-165.0000000,-14.0000000,39.1354904
2036.0000000,-165.0000000,-13.0000000,39.1334724
2036.0000000,-165.0000000,-13.0000000,39.1334724
2037.0000000,-168.0000000,-13.0000000,39.1346779
2037.0000000,-168.0000000,-13.0000000,39.1346779
2041.0000000,-166.0000000,-12.0000000,39.1418037
2041.0000000,-166.0000000,-12.0000000,39.1418037
2041.0000000,-164.0000000,-15.0000000,39.1376457
2041.0000000,-164.0000000,-15.0000000,39.1376457
2039.0000000,-166.0000000,-15.0000000,39.1323967
2039.0000000,-166.0000000,-15.0000000,39.1323967
2039.0000000,-164.0000000,-11.0000000,39.1306877
2039.0000000,-164.0000000,-11.0000000,39.1306877
2034.0000000,-165.0000000,-15.0000000,39.1321716
2034.0000000,-165.0000000,-13.0000000,39.1350136
2034.0000000,-165.0000000,-13.0000000,39.1350136
2039.0000000,-168.0000000,-16.0000000,39.1405945
2039.0000000,-168.0000000,-16.0000000,39.1405945
2039.0000000,-165.0000000,-15.0000000,39.1380692
2039.0000000,-165.0000000,-15.0000000,39.1380692
2040.0000000,-166.0000000,-18.0000000,39.1222076
2040.0000000,-166.0000000,-18.0000000,39.1222076
2037.0000000,-165.0000000,-14.0000000,39.1305809
2037.0000000,-165.0000000,-14.0000000,39.1305809
2038.0000000,-166.0000000,-13.0000000,39.1335831
2038.0000000,-166.0000000,-13.0000000,39.1335831
2038.0000000,-164.0000000,-14.0000000,39.1332664
2043.0000000,-165.0000000,-11.0000000,39.1148682
2043.0000000,-165.0000000,-11.0000000,39.1148682
2040.0000000,-166.0000000,-17.0000000,39.1285019
2040.0000000,-166.0000000,-17.0000000,39.1285019
2039.0000000,-164.0000000,-12.0000000,39.1302071
2039.0000000,-164.0000000,-12.0000000,39.1302071
2035.0000000,-167.0000000,-13.0000000,39.1362686
2035.0000000,-167.0000000,-13.0000000,39.1362686
2037.0000000,-163.0000000,-14.0000000,39.1432343
2037.0000000,-163.0000000,-14.0000000,39.1432343
2039.0000000,-163.0000000,-15.0000000,39.1389313
2043.0000000,-165.0000000,-16.0000000,39.1410980
2043.0000000,-165.0000000,-16.0000000,39.1410980
2041.0000000,-165.0000000,-13.0000000,39.1430473
2041.0000000,-165.0000000,-13.0000000,39.1430473
2040.0000000,-166.0000000,-15.0000000,39.1448021
2040.0000000,-166.0000000,-15.0000000,39.1448021
2037.0000000,-167.0000000,-15.0000000,39.1448746
2037.0000000,-167.0000000,-15.0000000,39.1448746
2038.0000000,-166.0000000,-12.0000000,39.1343689
2038.0000000,-166.0000000,-12.0000000,39.1343689
2039.0000000,-166.0000000,-12.0000000,39.1218987
2039.0000000,-166.0000000,-12.0000000,39.1218987
2035.0000000,-161.0000000,-17.0000000,39.1257706
2035.0000000,-166.0000000,-16.0000000,39.1217079
2035.0000000,-166.0000000,-16.0000000,39.1217079
2038.0000000,-166.0000000,-13.0000000,39.1225815
2038.0000000,-166.0000000,-13.0000000,39.1225815
2038.0000000,-160.0000000,-15.0000000,39.1309166
2038.0000000,-160.0000000,-15.0000000,39.1309166
2040.0000000,-168.0000000,-13.0000000,39.1278458
2040.0000000,-168.0000000,-13.0000000,39.1278458
2041.0000000,-169.0000000,-16.0000000,39.1281052
2041.0000000,-169.0000000,-16.0000000,39.1281052
2041.0000000,-161.0000000,-16.0000000,39.1283379
2041.0000000,-161.0000000,-16.0000000,39.1283379
2035.0000000,-165.0000000,-14.0000000,39.1345863
2041.0000000,-167.0000000,-12.0000000,39.1341705
2041.0000000,-167.0000000,-12.0000000,39.1341705
2038.0000000,-163.0000000,-18.0000000,39.1232300
2038.0000000,-163.0000000,-18.0000000,39.1232300
2040.0000000,-166.0000000,-15.0000000,39.1209297
2040.0000000,-166.0000000,-15.0000000,39.1209297
2040.0000000,-169.0000000,-12.0000000,39.1173515
2040.0000000,-169.0000000,-12.0000000,39.1173515
2038.0000000,-165.0000000,-16.0000000,39.1186600
2038.0000000,-165.0000000,-16.0000000,39.1186600
2039.0000000,-166.0000000,-14.0000000,39.1258774
2039.0000000,-166.0000000,-14.0000000,39.1258774
2040.0000000,-167.0000000,-16.0000000,39.1263313
2041.0000000,-162.0000000,-16.0000000,39.1297569
2041.0000000,-162.0000000,-16.0000000,39.1297569
2038.0000000,-165.0000000,-16.0000000,39.1328430
2038.0000000,-165.0000000,-16.0000000,39.1328430
2037.0000000,-167.0000000,-13.0000000,39.1356201
2037.0000000,-167.0000000,-13.0000000,39.1356201
2038.0000000,-165.0000000,-15.0000000,39.1230240
2038.0000000,-165.0000000,-15.0000000,39.1230240
2038.0000000,-164.0000000,-17.0000000,39.1252747
2038.0000000,-164.0000000,-17.0000000,39.1252747
2043.0000000,-167.0000000,-13.0000000,39.1257896
2041.0000000,-166.0000000,-14.0000000,39.1247444
2041.0000000,-166.0000000,-14.0000000,39.1247444
2038.0000000,-164.0000000,-16.0000000,39.1253128
2038.0000000,-164.0000000,-16.0000000,39.1253128
2039.0000000,-165.0000000,-14.0000000,39.1318626
2039.0000000,-165.0000000,-14.0000000,39.1318626
2040.0000000,-167.0000000,-15.0000000,39.1347351
2040.0000000,-167.0000000,-15.0000000,39.1347351
2040.0000000,-165.0000000,-14.0000000,39.1312828
2040.0000000,-165.0000000,-14.0000000,39.1312828
2043.0000000,-165.0000000,-16.0000000,39.1462936
2043.0000000,-165.0000000,-16.0000000,39.1462936
2040.0000000,-165.0000000,-14.0000000,39.1386681
2039.0000000,-165.0000000,-15.0000000,39.1318054
2039.0000000,-165.0000000,-15.0000000,39.1318054
2039.0000000,-165.0000000,-12.0000000,39.1316681
2039.0000000,-165.0000000,-12.0000000,39.1316681
2039.0000000,-167.0000000,-13.0000000,39.1375847
2039.0000000,-167.0000000,-13.0000000,39.1375847
2042.0000000,-168.0000000,-15.0000000,39.1323395
2042.0000000,-168.0000000,-15.0000000,39.1323395
2037.0000000,-163.0000000,-14.0000000,39.1381874
2037.0000000,-163.0000000,-14.0000000,39.1381874
2038.0000000,-167.0000000,-16.0000000,39.1374130
2038.0000000,-167.0000000,-16.0000000,39.1374130
2040.0000000,-168.0000000,-13.0000000,39.1427536
2038.0000000,-162.0000000,-12.0000000,39.1385002
2038.0000000,-162.0000000,-12.0000000,39.1385002
2041.0000000,-168.0000000,-16.0000000,39.1407089
2041.0000000,-168.0000000,-16.0000000,39.1407089
2038.0000000,-168.0000000,-16.0000000,39.1457214
2038.0000000,-168.0000000,-16.0000000,39.1457214
2047.0000000,-170.0000000,-9.0000000,39.1396637
2047.0000000,-170.0000000,-9.0000000,39.1396637
2035.0000000,-161.0000000,-19.0000000,39.1462898
2035.0000000,-161.0000000,-19.0000000,39.1462898
2034.0000000,-168.0000000,-8.0000000,39.1522522
2034.0000000,-168.0000000,-8.0000000,39.1522522
2039.0000000,-172.0000000,-16.0000000,39.1545982
2042.0000000,-161.0000000,-20.0000000,39.1506691
2042.0000000,-161.0000000,-20.0000000,39.1506691
2039.0000000,-166.0000000,-13.0000000,39.1486435
2039.0000000,-166.0000000,-13.0000000,39.1486435
2038.0000000,-170.0000000,-11.0000000,39.1483345
2038.0000000,-170.0000000,-11.0000000,39.1483345
2037.0000000,-159.0000000,-16.0000000,39.1465454
2037.0000000,-159.0000000,-16.0000000,39.1465454
2039.0000000,-166.0000000,-15.0000000,39.1524849
2039.0000000,-166.0000000,-15.0000000,39.1524849
2044.0000000,-165.0000000,-14.0000000,39.1532974
2037.0000000,-166.0000000,-17.0000000,39.1570511
2037.0000000,-166.0000000,-17.0000000,39.1570511
2037.0000000,-166.0000000,-14.0000000,39.1528778
2037.0000000,-166.0000000,-14.0000000,39.1528778
2038.0000000,-167.0000000,-13.0000000,39.1476135
2038.0000000,-167.0000000,-13.0000000,39.1476135
2037.0000000,-167.0000000,-13.0000000,39.1398582
2037.0000000,-167.0000000,-13.0000000,39.1398582
2041.0000000,-165.0000000,-12.0000000,39.1298561
2041.0000000,-165.0000000,-12.0000000,39.1298561
2043.0000000,-165.0000000,-14.0000000,39.1419907
2043.0000000,-165.0000000,-14.0000000,39.1419907
2042.0000000,-163.0000000,-15.0000000,39.1363068
2038.0000000,-165.0000000,-14.0000000,39.1538353
2038.0000000,-165.0000000,-14.0000000,39.1538353
2042.0000000,-163.0000000,-16.0000000,39.1575317
2042.0000000,-163.0000000,-16.0000000,39.1575317
2040.0000000,-165.0000000,-13.0000000,39.1638794
2040.0000000,-165.0000000,-13.0000000,39.1638794
2039.0000000,-165.0000000,-13.0000000,39.1544952
2039.0000000,-165.0000000,-13.0000000,39.1544952
2037.0000000,-167.0000000,-15.0000000,39.1385002
2037.0000000,-167.0000000,-15.0000000,39.1385002
2039.0000000,-166.0000000,-15.0000000,39.1241035
2039.0000000,-166.0000000,-15.0000000,39.1241035
2039.0000000,-164.0000000,-13.0000000,39.1126595
2038.0000000,-166.0000000,-13.0000000,39.1159477
2038.0000000,-166.0000000,-13.0000000,39.1159477
2042.0000000,-165.0000000,-15.0000000,39.1204147
2042.0000000,-165.0000000,-15.0000000,39.1204147
2040.0000000,-165.0000000,-14.0000000,39.1274567
2040.0000000,-165.0000000,-14.0000000,39.1274567
2038.0000000,-166.0000000,-14.0000000,39.1277542
2038.0000000,-166.0000000,-14.0000000,39.1277542
2038.0000000,-165.0000000,-12.0000000,39.1340599
2038.0000000,-165.0000000,-12.0000000,39.1340599
2037.0000000,-166.0000000,-17.0000000,39.1155815
2037.0000000,-166.0000000,-17.0000000,39.1155815
2039.0000000,-165.0000000,-16.0000000,39.1261215
2040.0000000,-164.0000000,-13.0000000,39.1341019
2040.0000000,-164.0000000,-13.0000000,39.1341019
2042.0000000,-166.0000000,-14.0000000,39.1412849
2036.0000000,-164.0000000,-11.0000000,39.1341591
2036.0000000,-164.0000000,-11.0000000,39.1341591
2037.0000000,-166.0000000,-13.0000000,39.1171799
2037.0000000,-166.0000000,-13.0000000,39.1171799
2039.0000000,-167.0000000,-14.0000000,39.1215210
2039.0000000,-167.0000000,-14.0000000,39.1215210
2038.0000000,-166.0000000,-15.0000000,39.1224136
2040.0000000,-166.0000000,-16.0000000,39.1307640
2040.0000000,-166.0000000,-16.0000000,39.1307640
2037.0000000,-165.0000000,-12.0000000,39.1262016
2037.0000000,-165.0000000,-12.0000000,39.1262016
2040.0000000,-164.0000000,-15.0000000,39.1402130
2040.0000000,-164.0000000,-15.0000000,39.1402130
2039.0000000,-167.0000000,-16.0000000,39.1467857
2039.0000000,-167.0000000,-16.0000000,39.1467857
2040.0000000,-167.0000000,-14.0000000,39.1270332
2040.0000000,-167.0000000,-14.0000000,39.1270332
2038.0000000,-166.0000000,-15.0000000,39.1152954
2038.0000000,-166.0000000,-15.0000000,39.1152954
2040.0000000,-165.0000000,-14.0000000,39.1288872
2034.0000000,-166.0000000,-13.0000000,39.1260185
2034.0000000,-166.0000000,-13.0000000,39.1260185
2042.0000000,-165.0000000,-13.0000000,39.1279716
2042.0000000,-165.0000000,-13.0000000,39.1279716
2040.0000000,-164.0000000,-16.0000000,39.1161385
2040.0000000,-164.0000000,-16.0000000,39.1161385
2040.0000000,-165.0000000,-13.0000000,39.1311569
2040.0000000,-165.0000000,-13.0000000,39.1311569
2040.0000000,-166.0000000,-14.0000000,39.1341019
2040.0000000,-166.0000000,-14.0000000,39.1341019
2039.0000000,-166.0000000,-14.0000000,39.1307144
2039.0000000,-166.0000000,-14.0000000,39.1307144
2038.0000000,-167.0000000,-11.0000000,39.1261597
2041.0000000,-165.0000000,-12.0000000,39.1175270
2041.0000000,-165.0000000,-12.0000000,39.1175270
2041.0000000,-163.0000000,-15.0000000,39.0976791
2041.0000000,-163.0000000,-15.0000000,39.0976791
2037.0000000,-167.0000000,-14.0000000,39.0964279
2037.0000000,-167.0000000,-14.0000000,39.0964279
2040.0000000,-163.0000000,-17.0000000,39.1028442
2040.0000000,-163.0000000,-17.0000000,39.1028442
2033.0000000,-165.0000000,-17.0000000,39.0905037
2033.0000000,-165.0000000,-17.0000000,39.0905037
2042.0000000,-166.0000000,-13.0000000,39.1005363
2042.0000000,-166.0000000,-13.0000000,39.1005363
2041.0000000,-163.0000000,-15.0000000,39.1005058
2042.0000000,-163.0000000,-15.0000000,39.0974579
2042.0000000,-163.0000000,-15.0000000,39.0974579
2038.0000000,-166.0000000,-13.0000000,39.1037712
2038.0000000,-166.0000000,-13.0000000,39.1037712
2037.0000000,-167.0000000,-17.0000000,39.1034164
2037.0000000,-167.0000000,-17.0000000,39.1034164
2039.0000000,-165.0000000,-14.0000000,39.1076279
2039.0000000,-165.0000000,-14.0000000,39.1076279
2039.0000000,-166.0000000,-15.0000000,39.1038704
2039.0000000,-166.0000000,-15.0000000,39.1038704
2041.0000000,-165.0000000,-15.0000000,39.1095428
2039.0000000,-166.0000000,-14.0000000,39.1055946
2039.0000000,-166.0000000,-14.0000000,39.1055946
2038.0000000,-167.0000000,-15.0000000,39.1080780
2038.0000000,-167.0000000,-15.0000000,39.1080780
2039.0000000,-166.0000000,-15.0000000,39.1057854
2039.0000000,-166.0000000,-15.0000000,39.1057854
2039.0000000,-167.0000000,-14.0000000,39.0961723
2039.0000000,-167.0000000,-14.0000000,39.0961723
2039.0000000,-166.0000000,-16.0000000,39.0980873
2039.0000000,-166.0000000,-16.0000000,39.0980873
2037.0000000,-164.0000000,-17.0000000,39.1013222
2037.0000000,-164.0000000,-17.0000000,39.1013222
2038.0000000,-165.0000000,-16.0000000,39.1072502
2038.0000000,-165.0000000,-18.0000000,39.1231575
2038.0000000,-165.0000000,-18.0000000,39.1231575
2040.0000000,-165.0000000,-14.0000000,39.1329422
2040.0000000,-165.0000000,-14.0000000,39.1329422
2041.0000000,-167.0000000,-14.0000000,39.1508064
2041.0000000,-167.0000000,-14.0000000,39.1508064
2040.0000000,-164.0000000,-14.0000000,39.1548080
2040.0000000,-164.0000000,-14.0000000,39.1548080
2038.0000000,-164.0000000,-15.0000000,39.1614265
2038.0000000,-164.0000000,-15.0000000,39.1614265
2040.0000000,-167.0000000,-14.0000000,39.1598358
2040.0000000,-167.0000000,-14.0000000,39.1598358
2039.0000000,-166.0000000,-10.0000000,39.1599121
2037.0000000,-165.0000000,-12.0000000,39.1509247
2037.0000000,-165.0000000,-12.0000000,39.1509247
2041.0000000,-166.0000000,-15.0000000,39.1337776
2041.0000000,-166.0000000,-15.0000000,39.1337776
2038.0000000,-166.0000000,-14.0000000,39.1183434
2038.0000000,-166.0000000,-14.0000000,39.1183434
2037.0000000,-166.0000000,-13.0000000,39.1165314
2037.0000000,-166.0000000,-13.0000000,39.1165314
2036.0000000,-167.0000000,-13.0000000,39.1148987
2036.0000000,-167.0000000,-13.0000000,39.1148987
2039.0000000,-164.0000000,-17.0000000,39.1406059
2039.0000000,-164.0000000,-17.0000000,39.1406059
2041.0000000,-165.0000000,-15.0000000,39.1410980
2038.0000000,-166.0000000,-14.0000000,39.1460686
2038.0000000,-166.0000000,-14.0000000,39.1460686
2038.0000000,-168.0000000,-14.0000000,39.1490326
2038.0000000,-168.0000000,-14.0000000,39.1490326
2038.0000000,-168.0000000,-14.0000000,39.1562271
2038.0000000,-168.0000000,-14.0000000,39.1562271
2040.0000000,-166.0000000,-14.0000000,39.1536484
2040.0000000,-166.0000000,-14.0000000,39.1536484
2043.0000000,-165.0000000,-12.0000000,39.1498146
2043.0000000,-165.0000000,-12.0000000,39.1498146
2039.0000000,-163.0000000,-14.0000000,39.1478767
2038.0000000,-164.0000000,-15.0000000,39.1461334
2038.0000000,-164.0000000,-15.0000000,39.1461334
2040.0000000,-163.0000000,-14.0000000,39.1490898
2040.0000000,-163.0000000,-14.0000000,39.1490898
2038.0000000,-167.0000000,-14.0000000,39.1487350
2038.0000000,-167.0000000,-14.0000000,39.1487350
2043.0000000,-167.0000000,-14.0000000,39.1484146
2043.0000000,-167.0000000,-14.0000000,39.1484146
2040.0000000,-162.0000000,-16.0000000,39.1405792
2040.0000000,-162.0000000,-16.0000000,39.1405792
2038.0000000,-165.0000000,-15.0000000,39.1440926
2038.0000000,-165.0000000,-15.0000000,39.1440926
2039.0000000,-166.0000000,-11.0000000,39.1427269
2038.0000000,-167.0000000,-13.0000000,39.1520653
2038.0000000,-167.0000000,-13.0000000,39.1520653
2041.0000000,-161.0000000,-13.0000000,39.1529198
2041.0000000,-161.0000000,-13.0000000,39.1529198
2039.0000000,-161.0000000,-12.0000000,39.1567078
2039.0000000,-161.0000000,-12.0000000,39.1567078
2039.0000000,-163.0000000,-13.0000000,39.1586075
2039.0000000,-163.0000000,-13.0000000,39.1586075
2035.0000000,-165.0000000,-15.0000000,39.1527672
2035.0000000,-165.0000000,-15.0000000,39.1527672
2038.0000000,-170.0000000,-13.0000000,39.1565704
2038.0000000,-170.0000000,-13.0000000,39.1565704
2045.0000000,-166.0000000,-14.0000000,39.1645241
2038.0000000,-163.0000000,-17.0000000,39.1641312
2038.0000000,-163.0000000,-17.0000000,39.1641312
2041.0000000,-169.0000000,-15.0000000,39.1607628
2041.0000000,-169.0000000,-15.0000000,39.1607628
2038.0000000,-168.0000000,-12.0000000,39.1486702
2038.0000000,-168.0000000,-12.0000000,39.1486702
2035.0000000,-162.0000000,-15.0000000,39.1468468
2035.0000000,-162.0000000,-15.0000000,39.1468468
2038.0000000,-165.0000000,-14.0000000,39.1421852
2038.0000000,-165.0000000,-14.0000000,39.1421852
2041.0000000,-167.0000000,-13.0000000,39.1425209
2041.0000000,-167.0000000,-13.0000000,39.1425209
2038.0000000,-163.0000000,-17.0000000,39.1503677
2037.0000000,-165.0000000,-12.0000000,39.1332741
2037.0000000,-165.0000000,-12.0000000,39.1332741
2040.0000000,-166.0000000,-13.0000000,39.1178894
2040.0000000,-166.0000000,-13.0000000,39.1178894
2037.0000000,-165.0000000,-16.0000000,39.1055565
2037.0000000,-165.0000000,-16.0000000,39.1055565
2042.0000000,-165.0000000,-15.0000000,39.1140823
2042.0000000,-165.0000000,-15.0000000,39.1140823
2038.0000000,-167.0000000,-14.0000000,39.1187363
2038.0000000,-167.0000000,-14.0000000,39.1187363
2041.0000000,-165.0000000,-15.0000000,39.1153793
2038.0000000,-163.0000000,-14.0000000,39.1259422
2038.0000000,-163.0000000,-14.0000000,39.1259422
2035.0000000,-170.0000000,-13.0000000,39.1173325
2035.0000000,-170.0000000,-13.0000000,39.1173325
2039.0000000,-165.0000000,-14.0000000,39.1141129
2039.0000000,-165.0000000,-14.0000000,39.1141129
2040.0000000,-165.0000000,-15.0000000,39.1127243
2040.0000000,-165.0000000,-15.0000000,39.1127243
2037.0000000,-162.0000000,-12.0000000,39.1144943
2037.0000000,-162.0000000,-12.0000000,39.1144943
2035.0000000,-166.0000000,-15.0000000,39.1145782
2035.0000000,-166.0000000,-15.0000000,39.1145782
2036.0000000,-165.0000000,-16.0000000,39.1237144
2037.0000000,-164.0000000,-13.0000000,39.1228752
2037.0000000,-164.0000000,-13.0000000,39.1228752
2038.0000000,-167.0000000,-14.0000000,39.1266479
2038.0000000,-167.0000000,-14.0000000,39.1266479
2040.0000000,-165.0000000,-14.0000000,39.1270256
2040.0000000,-165.0000000,-14.0000000,39.1270256
2039.0000000,-166.0000000,-11.0000000,39.1183052
2039.0000000,-166.0000000,-11.0000000,39.1183052
2037.0000000,-164.0000000,-13.0000000,39.1210289
2037.0000000,-164.0000000,-13.0000000,39.1210289
2039.0000000,-167.0000000,-13.0000000,39.1174393
2039.0000000,-167.0000000,-13.0000000,39.1174393
2038.0000000,-165.0000000,-14.0000000,39.1247787
2041.0000000,-163.0000000,-15.0000000,39.1374207
2041.0000000,-163.0000000,-15.0000000,39.1374207
2044.0000000,-164.0000000,-12.0000000,39.1321945
2044.0000000,-164.0000000,-12.0000000,39.1321945
2037.0000000,-167.0000000,-15.0000000,39.1350365
2037.0000000,-167.0000000,-15.0000000,39.1350365
2041.0000000,-166.0000000,-12.0000000,39.1391029
2041.0000000,-166.0000000,-12.0000000,39.1391029
2042.0000000,-167.0000000,-6.0000000,39.1382370
2042.0000000,-167.0000000,-6.0000000,39.1382370
2039.0000000,-170.0000000,-8.0000000,39.1374550
2039.0000000,-170.0000000,-8.0000000,39.1374550
2040.0000000,-167.0000000,-15.0000000,39.1412811
2039.0000000,-167.0000000,-9.0000000,39.1341591
2039.0000000,-167.0000000,-9.0000000,39.1341591
2039.0000000,-161.0000000,-16.0000000,39.1428413
2039.0000000,-161.0000000,-16.0000000,39.1428413
2041.0000000,-167.0000000,-11.0000000,39.1461296
2041.0000000,-167.0000000,-11.0000000,39.1461296
2040.0000000,-167.0000000,-15.0000000,39.1505966
2040.0000000,-167.0000000,-15.0000000,39.1505966
2041.0000000,-164.0000000,-12.0000000,39.1470680
2041.0000000,-164.0000000,-12.0000000,39.1470680
2038.0000000,-166.0000000,-13.0000000,39.1484222
2040.0000000,-165.0000000,-15.0000000,39.1330338
2040.0000000,-165.0000000,-15.0000000,39.1330338
2037.0000000,-166.0000000,-12.0000000,39.1327744
2037.0000000,-166.0000000,-12.0000000,39.1327744
2039.0000000,-167.0000000,-17.0000000,39.1446190
2039.0000000,-167.0000000,-17.0000000,39.1446190
2043.0000000,-167.0000000,-12.0000000,39.1371613
2043.0000000,-167.0000000,-12.0000000,39.1371613
2038.0000000,-164.0000000,-17.0000000,39.1425285
2038.0000000,-164.0000000,-17.0000000,39.1425285
2037.0000000,-166.0000000,-12.0000000,39.1428299
2037.0000000,-166.0000000,-12.0000000,39.1428299
2036.0000000,-164.0000000,-14.0000000,39.1476288
2041.0000000,-166.0000000,-15.0000000,39.1519470
2041.0000000,-166.0000000,-15.0000000,39.1519470
2042.0000000,-165.0000000,-15.0000000,39.1513062
2042.0000000,-165.0000000,-15.0000000,39.1513062
2038.0000000,-167.0000000,-11.0000000,39.1552582
2038.0000000,-167.0000000,-11.0000000,39.1552582
2037.0000000,-165.0000000,-16.0000000,39.1618309
2037.0000000,-165.0000000,-16.0000000,39.1618309
2036.0000000,-166.0000000,-13.0000000,39.1617088
2036.0000000,-166.0000000,-13.0000000,39.1617088
2040.0000000,-167.0000000,-16.0000000,39.1465034
2040.0000000,-167.0000000,-16.0000000,39.1465034
2041.0000000,-163.0000000,-17.0000000,39.1479149
2037.0000000,-165.0000000,-13.0000000,39.1522064
2037.0000000,-165.0000000,-13.0000000,39.1522064
2039.0000000,-166.0000000,-15.0000000,39.1470070
2039.0000000,-166.0000000,-15.0000000,39.1470070
2039.0000000,-167.0000000,-12.0000000,39.1453476
2039.0000000,-167.0000000,-12.0000000,39.1453476
2037.0000000,-163.0000000,-17.0000000,39.1302681
2037.0000000,-163.0000000,-17.0000000,39.1302681
2039.0000000,-167.0000000,-17.0000000,39.1257553
2039.0000000,-167.0000000,-17.0000000,39.1257553
2042.0000000,-167.0000000,-12.0000000,39.1247139
2042.0000000,-167.0000000,-12.0000000,39.1247139
2041.0000000,-167.0000000,-17.0000000,39.1252861
2039.0000000,-167.0000000,-12.0000000,39.1303291
2039.0000000,-167.0000000,-12.0000000,39.1303291
