I0,I1,I2,I3
40.0000000,-23.0000000,-2049.0000000,35.0046501
36.0000000,-19.0000000,-2049.0000000,35.0020714
36.0000000,-22.0000000,-2050.0000000,35.0163574
36.0000000,-22.0000000,-2050.0000000,35.0163574
38.0000000,-21.0000000,-2046.0000000,35.0246849
38.0000000,-21.0000000,-2046.0000000,35.0246849
38.0000000,-22.0000000,-2049.0000000,35.0185928
38.0000000,-22.0000000,-2049.0000000,35.0185928
34.0000000,-20.0000000,-2047.0000000,35.0161285
34.0000000,-20.0000000,-2047.0000000,35.0161285
35.0000000,-20.0000000,-2049.0000000,35.0335350
35.0000000,-20.0000000,-2049.0000000,35.0335350
39.0000000,-23.0000000,-2047.0000000,35.0356140
39.0000000,-23.0000000,-2047.0000000,35.0356140
39.0000000,-22.0000000,-2045.0000000,35.0299377
37.0000000,-22.0000000,-2046.0000000,35.0399246
37.0000000,-22.0000000,-2046.0000000,35.0399246
39.0000000,-21.0000000,-2049.0000000,35.0292892
39.0000000,-21.0000000,-2049.0000000,35.0292892
38.0000000,-21.0000000,-2048.0000000,35.0257568
38.0000000,-21.0000000,-2048.0000000,35.0257568
37.0000000,-21.0000000,-2050.0000000,35.0135193
37.0000000,-21.0000000,-2050.0000000,35.0135193
37.0000000,-19.0000000,-2046.0000000,35.0100517
37.0000000,-19.0000000,-2046.0000000,35.0100517
39.0000000,-20.0000000,-2048.0000000,34.9963646
39.0000000,-20.0000000,-2048.0000000,34.9963646
38.0000000,-19.0000000,-2047.0000000,35.0112190
39.0000000,-20.0000000,-2046.0000000,35.0185509
39.0000000,-20.0000000,-2046.0000000,35.0185509
37.0000000,-24.0000000,-2050.0000000,35.0342064
37.0000000,-24.0000000,-2050.0000000,35.0342064
37.0000000,-22.0000000,-2046.0000000,35.0467873
37.0000000,-22.0000000,-2046.0000000,35.0467873
37.0000000,-22.0000000,-2046.0000000,35.0475426
37.0000000,-22.0000000,-2046.0000000,35.0475426
38.0000000,-23.0000000,-2049.0000000,35.0452042
38.0000000,-23.0000000,-2049.0000000,35.0452042
36.0000000,-20.0000000,-2048.0000000,35.0536652
36.0000000,-20.0000000,-2048.0000000,35.0536652
41.0000000,-23.0000000,-2047.0000000,35.0733566
37.0000000,-23.0000000,-2046.0000000,35.0684357
37.0000000,-23.0000000,-2046.0000000,35.0684357
38.0000000,-20.0000000,-2048.0000000,35.0655174
38.0000000,-20.0000000,-2048.0000000,35.0655174
40.0000000,-21.0000000,-2048.0000000,35.0583611
40.0000000,-21.0000000,-2048.0000000,35.0583611
38.0000000,-21.0000000,-2048.0000000,35.0443726
38.0000000,-21.0000000,-2048.0000000,35.0443726
40.0000000,-19.0000000,-2050.0000000,35.0242348
40.0000000,-19.0000000,-2050.0000000,35.0242348
38.0000000,-21.0000000,-2049.0000000,35.0257339
39.0000000,-21.0000000,-2047.0000000,35.0210457
39.0000000,-21.0000000,-2047.0000000,35.0210457
38.0000000,-21.0000000,-2049.0000000,35.0168266
38.0000000,-21.0000000,-2049.0000000,35.0168266
37.0000000,-25.0000000,-2049.0000000,35.0115204
37.0000000,-25.0000000,-2049.0000000,35.0115204
36.0000000,-21.0000000,-2047.0000000,35.0127831
36.0000000,-21.0000000,-2047.0000000,35.0127831
39.0000000,-24.0000000,-2049.0000000,35.0078812
39.0000000,-24.0000000,-2049.0000000,35.0078812
38.0000000,-22.0000000,-2047.0000000,35.0079956
38.0000000,-22.0000000,-2047.0000000,35.0079956
39.0000000,-26.0000000,-2048.0000000,35.0035706
39.0000000,-20.0000000,-2046.0000000,34.9950600
39.0000000,-20.0000000,-2046.0000000,34.9950600
40.0000000,-23.0000000,-2049.0000000,34.9949493
40.0000000,-23.0000000,-2049.0000000,34.9949493
40.0000000,-21.0000000,-2049.0000000,34.9857903
40.0000000,-21.0000000,-2049.0000000,34.9857903
38.0000000,-22.0000000,-2049.0000000,34.9986839
38.0000000,-22.0000000,-2049.0000000,34.9986839
38.0000000,-21.0000000,-2050.0000000,34.9951935
38.0000000,-21.0000000,-2050.0000000,34.9951935
40.0000000,-21.0000000,-2048.0000000,34.9860115
40.0000000,-21.0000000,-2048.0000000,34.9860115
38.0000000,-22.0000000,-2050.0000000,34.9822769
